year,city,country,avg_temp
1816,Kunming,China,14.15
1817,Kunming,China,13.13
1818,Kunming,China,13.81
1819,Kunming,China,13.15
1820,Kunming,China,14.11
1821,Kunming,China,14.14
1822,Kunming,China,14.29
1823,Kunming,China,14.37
1824,Kunming,China,
1825,Kunming,China,
1826,Kunming,China,
1827,Kunming,China,
1828,Kunming,China,
1829,Kunming,China,
1830,Kunming,China,
1831,Kunming,China,
1832,Kunming,China,
1833,Kunming,China,14.14
1834,Kunming,China,14.11
1835,Kunming,China,13.14
1836,Kunming,China,13.51
1837,Kunming,China,14.21
1838,Kunming,China,16.29
1839,Kunming,China,
1840,Kunming,China,13.99
1841,Kunming,China,14.21
1842,Kunming,China,14.09
1843,Kunming,China,14.20
1844,Kunming,China,13.74
1845,Kunming,China,13.69
1846,Kunming,China,14.22
1847,Kunming,China,13.83
1848,Kunming,China,13.68
1849,Kunming,China,13.85
1850,Kunming,China,14.69
1851,Kunming,China,14.47
1852,Kunming,China,14.05
1853,Kunming,China,14.44
1854,Kunming,China,14.36
1855,Kunming,China,14.11
1856,Kunming,China,13.73
1857,Kunming,China,14.74
1858,Kunming,China,14.09
1859,Kunming,China,14.26
1860,Kunming,China,14.01
1861,Kunming,China,13.91
1862,Kunming,China,8.42
1863,Kunming,China,13.92
1864,Kunming,China,13.76
1865,Kunming,China,14.32
1866,Kunming,China,14.26
1867,Kunming,China,14.38
1868,Kunming,China,14.32
1869,Kunming,China,14.13
1870,Kunming,China,14.26
1871,Kunming,China,14.32
1872,Kunming,China,14.44
1873,Kunming,China,14.37
1874,Kunming,China,14.26
1875,Kunming,China,14.06
1876,Kunming,China,13.97
1877,Kunming,China,14.16
1878,Kunming,China,14.65
1879,Kunming,China,14.62
1880,Kunming,China,14.04
1881,Kunming,China,14.28
1882,Kunming,China,14.25
1883,Kunming,China,13.85
1884,Kunming,China,13.65
1885,Kunming,China,13.87
1886,Kunming,China,14.05
1887,Kunming,China,14.09
1888,Kunming,China,14.30
1889,Kunming,China,14.53
1890,Kunming,China,14.41
1891,Kunming,China,14.48
1892,Kunming,China,14.11
1893,Kunming,China,13.78
1894,Kunming,China,14.26
1895,Kunming,China,14.30
1896,Kunming,China,14.32
1897,Kunming,China,14.57
1898,Kunming,China,14.56
1899,Kunming,China,14.01
1900,Kunming,China,14.40
1901,Kunming,China,14.35
1902,Kunming,China,14.95
1903,Kunming,China,14.23
1904,Kunming,China,14.30
1905,Kunming,China,13.97
1906,Kunming,China,14.36
1907,Kunming,China,14.27
1908,Kunming,China,14.11
1909,Kunming,China,14.45
1910,Kunming,China,14.26
1911,Kunming,China,14.28
1912,Kunming,China,14.22
1913,Kunming,China,14.07
1914,Kunming,China,14.75
1915,Kunming,China,14.78
1916,Kunming,China,14.23
1917,Kunming,China,13.96
1918,Kunming,China,14.02
1919,Kunming,China,14.76
1920,Kunming,China,14.59
1921,Kunming,China,14.65
1922,Kunming,China,14.77
1923,Kunming,China,14.74
1924,Kunming,China,14.77
1925,Kunming,China,13.99
1926,Kunming,China,14.65
1927,Kunming,China,14.43
1928,Kunming,China,14.50
1929,Kunming,China,14.38
1930,Kunming,China,14.35
1931,Kunming,China,15.06
1932,Kunming,China,14.30
1933,Kunming,China,14.83
1934,Kunming,China,14.15
1935,Kunming,China,14.88
1936,Kunming,China,14.31
1937,Kunming,China,15.33
1938,Kunming,China,14.90
1939,Kunming,China,14.71
1940,Kunming,China,14.76
1941,Kunming,China,15.09
1942,Kunming,China,15.12
1943,Kunming,China,14.82
1944,Kunming,China,14.81
1945,Kunming,China,14.54
1946,Kunming,China,16.15
1947,Kunming,China,15.29
1948,Kunming,China,14.90
1949,Kunming,China,14.95
1950,Kunming,China,14.70
1951,Kunming,China,14.92
1952,Kunming,China,15.34
1953,Kunming,China,15.34
1954,Kunming,China,14.96
1955,Kunming,China,14.48
1956,Kunming,China,14.56
1957,Kunming,China,14.71
1958,Kunming,China,14.96
1959,Kunming,China,14.62
1960,Kunming,China,15.15
1961,Kunming,China,14.82
1962,Kunming,China,14.45
1963,Kunming,China,14.72
1964,Kunming,China,14.83
1965,Kunming,China,14.58
1966,Kunming,China,15.06
1967,Kunming,China,14.34
1968,Kunming,China,14.51
1969,Kunming,China,15.07
1970,Kunming,China,14.56
1971,Kunming,China,14.00
1972,Kunming,China,14.65
1973,Kunming,China,15.03
1974,Kunming,China,14.39
1975,Kunming,China,14.81
1976,Kunming,China,14.26
1977,Kunming,China,14.37
1978,Kunming,China,14.45
1979,Kunming,China,14.91
1980,Kunming,China,15.12
1981,Kunming,China,15.12
1982,Kunming,China,14.73
1983,Kunming,China,14.46
1984,Kunming,China,14.80
1985,Kunming,China,14.42
1986,Kunming,China,14.65
1987,Kunming,China,15.29
1988,Kunming,China,15.24
1989,Kunming,China,14.88
1990,Kunming,China,14.94
1991,Kunming,China,14.93
1992,Kunming,China,14.21
1993,Kunming,China,14.48
1994,Kunming,China,14.93
1995,Kunming,China,14.62
1996,Kunming,China,14.57
1997,Kunming,China,14.46
1998,Kunming,China,15.47
1999,Kunming,China,15.18
2000,Kunming,China,14.53
2001,Kunming,China,14.93
2002,Kunming,China,15.02
2003,Kunming,China,15.36
2004,Kunming,China,14.60
2005,Kunming,China,15.36
2006,Kunming,China,15.32
2007,Kunming,China,14.68
2008,Kunming,China,14.52
2009,Kunming,China,15.55
2010,Kunming,China,15.75
2011,Kunming,China,14.59
2012,Kunming,China,15.47
2013,Kunming,China,16.53
